1&1&11&121&21&441&31&961
2&4&12&144&22&484&32&1024
3&9&13&169&23&529&33&1089
4&16&14&196&24&576&34&1156
5&25&15&225&25&625&35&1225
6&36&16&256&26&676&36&1296
7&49&17&289&27&729&37&1369
8&64&18&324&28&784&38&1444
9&81&19&361&29&841&39&1521
10&100&20&400&30&900&40&1600
