n&T&n&T&n&T&n&T
1&1&11&66&21&231&31&496
2&3&12&78&22&253&32&528
3&6&13&91&23&276&33&561
4&10&14&105&24&300&34&595
5&15&15&120&25&325&35&630
6&21&16&136&26&351&36&666
7&28&17&153&27&378&37&703
8&36&18&171&28&406&38&741
9&45&19&190&29&435&39&780
10&55&20&210&30&465&40&820
